frozenset(['social_non_prob']),frozenset(['class_priority']),1.0654830507370943
frozenset(['class_priority']),frozenset(['social_non_prob']),1.0654830507370943
frozenset(['social_non_prob']),frozenset(['housing_less_conv']),1.000077160493827
frozenset(['housing_less_conv']),frozenset(['social_non_prob']),1.000077160493827
frozenset(['children_more']),frozenset(['class_priority']),1.1379218324043687
frozenset(['class_priority']),frozenset(['children_more']),1.1379218324043687
frozenset(['children_more']),frozenset(['social_problematic']),1.000077160493827
frozenset(['social_problematic']),frozenset(['children_more']),1.000077160493827
frozenset(['health_priority']),frozenset(['housing_critical']),1.0000771604938272
frozenset(['housing_critical']),frozenset(['health_priority']),1.0000771604938272
frozenset(['spec_prior']),frozenset(['housing_less_conv']),1.192970381360589
frozenset(['housing_less_conv']),frozenset(['spec_prior']),1.192970381360589
frozenset(['housing_conv']),frozenset(['health_priority']),1.000077160493827
frozenset(['health_priority']),frozenset(['housing_conv']),1.000077160493827
frozenset(['health_recommend']),frozenset(['parents_pretentious']),1.000077160493827
frozenset(['parents_pretentious']),frozenset(['health_recommend']),1.000077160493827
frozenset(['social_non_prob']),frozenset(['housing_critical']),1.0000771604938272
frozenset(['housing_critical']),frozenset(['social_non_prob']),1.0000771604938272
frozenset(['social_non_prob']),frozenset(['finance_conv']),1.0000771604938272
frozenset(['finance_conv']),frozenset(['social_non_prob']),1.0000771604938272
frozenset(['health_recommend']),frozenset(['finance_inconv']),1.000077160493827
frozenset(['finance_inconv']),frozenset(['health_recommend']),1.000077160493827
frozenset(['form_foster']),frozenset(['housing_critical']),1.0000771604938272
frozenset(['housing_critical']),frozenset(['form_foster']),1.0000771604938272
frozenset(['health_priority']),frozenset(['finance_inconv']),1.000077160493827
frozenset(['finance_inconv']),frozenset(['health_priority']),1.000077160493827
frozenset(['social_non_prob']),frozenset(['parents_great_pret']),1.000077160493827
frozenset(['parents_great_pret']),frozenset(['social_non_prob']),1.000077160493827
frozenset(['social_slightly_prob']),frozenset(['social_problematic']),1.000077160493827
